SSID; BSS; RSSI; Kanal; Datum
HFU Guest;" ""18:E8:29:EE:30:6E""";" ""-90""";" ""36""";" ""18:09:56"""
HFU Guest;" ""18:E8:29:EE:30:6E""";" ""-90""";" ""36""";" ""18:10:00"""
eduroam;" ""22:E8:29:EE:32:54""";" ""-84""";" ""36""";" ""18:09:56"""
eduroam;" ""22:E8:29:EE:32:54""";" ""-84""";" ""36""";" ""18:10:00"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-94""";" ""6""";" ""18:09:56"""
DIRECT-RI-IMC4500_Ausstellung;" ""12:98:C3:3B:DF:A6""";" ""-88""";" ""6""";" ""18:10:00"""
;" ""BA:FB:E4:4E:17:84""";" ""-78""";" ""44""";" ""18:09:56"""
;" ""BA:FB:E4:4E:17:84""";" ""-78""";" ""44""";" ""18:10:00"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-90""";" ""36""";" ""18:09:56"""
eduroam;" ""82:8A:20:0F:32:62""";" ""-90""";" ""36""";" ""18:10:00"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:09:56"""
HFU Open;" ""C2:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:10:00"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-73""";" ""44""";" ""18:09:56"""
HFU Guest;" ""B4:FB:E4:4E:13:20""";" ""-71""";" ""44""";" ""18:10:00"""
;" ""7E:8A:20:0F:32:CB""";" ""-78""";" ""6""";" ""18:09:56"""
;" ""7E:8A:20:0F:32:CB""";" ""-78""";" ""6""";" ""18:10:00"""
;" ""1E:E8:29:EE:30:A7""";" ""-74""";" ""40""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4D:13:20""";" ""-71""";" ""11""";" ""18:10:00"""
eduroam;" ""82:8A:20:0F:32:63""";" ""-86""";" ""6""";" ""18:10:00"""
eduroam;" ""22:E8:29:ED:30:6E""";" ""-92""";" ""11""";" ""18:09:56"""
eduroam;" ""22:E8:29:ED:30:6E""";" ""-91""";" ""11""";" ""18:10:00"""
;" ""1E:E8:29:EE:32:54""";" ""-84""";" ""36""";" ""18:10:00"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-82""";" ""6""";" ""18:09:56"""
HFU Open;" ""26:E8:29:ED:2F:EA""";" ""-80""";" ""6""";" ""18:10:00"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:09:56"""
HFU Open;" ""C2:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4D:14:C8""";" ""-93""";" ""11""";" ""18:10:00"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-76""";" ""1""";" ""18:09:56"""
HFU Open;" ""26:E8:29:ED:30:A7""";" ""-80""";" ""1""";" ""18:10:00"""
;" ""7E:8A:20:0F:32:63""";" ""-88""";" ""6""";" ""18:09:56"""
;" ""7E:8A:20:0F:32:63""";" ""-88""";" ""6""";" ""18:10:00"""
;" ""1E:E8:29:ED:30:6E""";" ""-93""";" ""11""";" ""18:09:56"""
;" ""1E:E8:29:ED:30:6E""";" ""-93""";" ""11""";" ""18:10:00"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-95""";" ""9""";" ""18:09:56"""
AP_KN_24;" ""00:27:22:82:29:6E""";" ""-95""";" ""9""";" ""18:10:00"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:09:56"""
HFU Guest;" ""78:8A:20:0F:32:CA""";" ""-75""";" ""36""";" ""18:10:00"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-78""";" ""44""";" ""18:09:56"""
HFU Guest;" ""B4:FB:E4:4E:17:84""";" ""-81""";" ""44""";" ""18:10:00"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:09:56"""
HFU Open;" ""26:E8:29:ED:32:54""";" ""-72""";" ""6""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:10:00"""
;" ""BA:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:09:56"""
;" ""BA:FB:E4:4D:13:20""";" ""-72""";" ""11""";" ""18:10:00"""
HFU Guest;" ""18:E8:29:EE:30:A7""";" ""-79""";" ""40""";" ""18:09:56"""
HFU Guest;" ""18:E8:29:EE:30:A7""";" ""-74""";" ""40""";" ""18:10:00"""
HFU Guest;" ""78:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:10:00"""
eduroam;" ""22:E8:29:ED:2F:EA""";" ""-82""";" ""6""";" ""18:09:56"""
eduroam;" ""22:E8:29:ED:2F:EA""";" ""-80""";" ""6""";" ""18:10:00"""
HFU Guest;" ""18:E8:29:EE:32:54""";" ""-83""";" ""36""";" ""18:10:00"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-73""";" ""44""";" ""18:09:56"""
HFU Open;" ""C2:FB:E4:4E:13:20""";" ""-72""";" ""44""";" ""18:10:00"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-90""";" ""36""";" ""18:09:56"""
HFU Guest;" ""78:8A:20:0F:32:62""";" ""-90""";" ""36""";" ""18:10:00"""
eduroam;" ""22:E8:29:ED:30:A7""";" ""-77""";" ""1""";" ""18:09:56"""
eduroam;" ""22:E8:29:ED:30:A7""";" ""-80""";" ""1""";" ""18:10:00"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-89""";" ""44""";" ""18:09:56"""
HFU Open;" ""C2:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:10:00"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-87""";" ""6""";" ""18:09:56"""
HFU Guest;" ""78:8A:20:0F:32:63""";" ""-87""";" ""6""";" ""18:10:00"""
HFU Guest;" ""18:E8:29:ED:30:6E""";" ""-93""";" ""11""";" ""18:09:56"""
HFU Guest;" ""18:E8:29:ED:30:6E""";" ""-93""";" ""11""";" ""18:10:00"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:09:56"""
eduroam;" ""22:E8:29:ED:32:54""";" ""-72""";" ""6""";" ""18:10:00"""
;" ""BA:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:09:56"""
;" ""BA:FB:E4:4D:17:84""";" ""-83""";" ""1""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-72""";" ""44""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4E:13:20""";" ""-73""";" ""44""";" ""18:10:00"""
;" ""1E:E8:29:ED:30:A7""";" ""-81""";" ""1""";" ""18:09:56"""
;" ""1E:E8:29:ED:30:A7""";" ""-80""";" ""1""";" ""18:10:00"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-74""";" ""11""";" ""18:09:56"""
HFU Guest;" ""B4:FB:E4:4D:13:20""";" ""-71""";" ""11""";" ""18:10:00"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-76""";" ""36""";" ""18:09:56"""
HFU Open;" ""86:8A:20:0F:32:CA""";" ""-75""";" ""36""";" ""18:10:00"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-78""";" ""44""";" ""18:09:56"""
HFU Open;" ""C2:FB:E4:4E:17:84""";" ""-81""";" ""44""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-89""";" ""44""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4E:14:C8""";" ""-88""";" ""44""";" ""18:10:00"""
;" ""1E:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:09:56"""
;" ""1E:E8:29:ED:32:54""";" ""-74""";" ""6""";" ""18:10:00"""
HFU Open;" ""26:E8:29:EE:30:A7""";" ""-79""";" ""40""";" ""18:09:56"""
HFU Open;" ""26:E8:29:EE:30:A7""";" ""-74""";" ""40""";" ""18:10:00"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:09:56"""
HFU Open;" ""86:8A:20:0F:32:CB""";" ""-76""";" ""6""";" ""18:10:00"""
;" ""1E:E8:29:EE:30:6E""";" ""-90""";" ""36""";" ""18:09:56"""
;" ""1E:E8:29:EE:30:6E""";" ""-90""";" ""36""";" ""18:10:00"""
HFU Open;" ""26:E8:29:EE:32:54""";" ""-86""";" ""36""";" ""18:09:56"""
HFU Open;" ""26:E8:29:EE:32:54""";" ""-84""";" ""36""";" ""18:10:00"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-78""";" ""44""";" ""18:09:56"""
eduroam;" ""BE:FB:E4:4E:17:84""";" ""-81""";" ""44""";" ""18:10:00"""
HFU Guest;" ""18:E8:29:ED:2F:EA""";" ""-81""";" ""6""";" ""18:09:56"""
HFU Guest;" ""18:E8:29:ED:2F:EA""";" ""-80""";" ""6""";" ""18:10:00"""
;" ""BA:FB:E4:4E:13:20""";" ""-73""";" ""44""";" ""18:09:56"""
